date,steps,resting_hr,sleep_hours,sleep_efficiency,hrv_proxy,wear_time_hours,notes
2026-02-01,7800,57,7.2,0.88,56,18,
2026-02-02,7600,58,7.0,0.87,54,17,
2026-02-03,8000,57,7.4,0.89,58,18,
2026-02-04,7900,58,7.1,0.88,55,17,
2026-02-05,7700,59,6.9,0.86,53,16,
2026-02-06,7500,58,7.0,0.87,54,17,
2026-02-07,7800,57,7.3,0.89,56,18,
2026-02-08,6200,61,, ,49,12,"forgot to wear at night"
2026-02-09,5800,62,, ,47,10,"device off"
2026-02-10,5400,63,5.9,0.78,46,9,
2026-02-11,5200,64,, ,45,8,
2026-02-12,5600,63,6.1,0.80,47,10,
2026-02-13,6000,62,, ,48,11,
2026-02-14,6300,61,6.4,0.83,50,12,"wearing again"
